participantId,trialId,trialOrder,responseId,percentComplete,description,instruction,responsePrompt,answer,startTime,endTime,duration,cleanedDuration
"271bc48d-e63c-4004-9edc-e5366330d5f5","participantTags","null","participantTags","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","1","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","1.46,1.46","2025-03-04T13:29:39.211Z","2025-03-04T13:29:41.489Z","2278","2278"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-1","2","barChart","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.37,2.37","2025-03-04T13:29:41.612Z","2025-03-04T13:29:43.904Z","2292","2292"
"271bc48d-e63c-4004-9edc-e5366330d5f5","pie-chart-1","3","pieChart","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","1.89,1.89","2025-03-04T13:29:44.012Z","2025-03-04T13:29:45.628Z","1616","1616"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-v-1","4","barChartV","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.45,2.45","2025-03-04T13:29:45.732Z","2025-03-04T13:29:47.826Z","2094","2094"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","5","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.48,2.48","2025-03-04T13:29:47.930Z","2025-03-04T13:29:50.124Z","2194","2194"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-1","6","barChart","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","3.00,3.00","2025-03-04T13:29:50.231Z","2025-03-04T13:29:53.388Z","3157","3157"
"271bc48d-e63c-4004-9edc-e5366330d5f5","pie-chart-1","7","pieChart","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.82,2.82","2025-03-04T13:29:53.496Z","2025-03-04T13:29:55.926Z","2430","2430"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-v-1","8","barChartV","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.25,2.25","2025-03-04T13:29:56.032Z","2025-03-04T13:29:58.006Z","1974","1974"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","9","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.4,2.4","2025-03-04T13:29:58.111Z","2025-03-04T13:30:00.162Z","2051","2051"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","10","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.72,2.72","2025-03-04T13:30:00.261Z","2025-03-04T13:30:02.146Z","1885","1885"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-1","11","barChart","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","1.82,1.82","2025-03-04T13:30:02.256Z","2025-03-04T13:30:04.612Z","2356","2356"
"271bc48d-e63c-4004-9edc-e5366330d5f5","pie-chart-1","12","pieChart","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","1.66,1.66","2025-03-04T13:30:04.734Z","2025-03-04T13:30:06.287Z","1553","1553"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-v-1","13","barChartV","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.21,2.21","2025-03-04T13:30:06.417Z","2025-03-04T13:30:08.548Z","2131","2131"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","14","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.5,2.57","2025-03-04T13:30:08.660Z","2025-03-04T13:30:11.334Z","2674","2674"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-1","15","barChart","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.74,2.74","2025-03-04T13:30:11.487Z","2025-03-04T13:30:13.634Z","2147","2147"
"271bc48d-e63c-4004-9edc-e5366330d5f5","pie-chart-1","16","pieChart","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.73,2.73","2025-03-04T13:30:13.769Z","2025-03-04T13:30:15.513Z","1744","1744"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-v-1","17","barChartV","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.23,2.23","2025-03-04T13:30:15.612Z","2025-03-04T13:30:17.882Z","2270","2270"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","18","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.33,2.33","2025-03-04T13:30:17.991Z","2025-03-04T13:30:19.992Z","2001","2001"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","19","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.64,2.64","2025-03-04T13:30:20.094Z","2025-03-04T13:30:22.190Z","2096","2096"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-1","20","barChart","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","1.33,1.33","2025-03-04T13:30:22.298Z","2025-03-04T13:30:24.317Z","2019","2019"
"271bc48d-e63c-4004-9edc-e5366330d5f5","pie-chart-1","21","pieChart","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.52,2.52","2025-03-04T13:30:24.438Z","2025-03-04T13:30:25.845Z","1407","1407"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-v-1","22","barChartV","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.26,2.26","2025-03-04T13:30:25.948Z","2025-03-04T13:30:27.644Z","1696","1696"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","23","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.78,2.78","2025-03-04T13:30:27.740Z","2025-03-04T13:30:30.004Z","2264","2264"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-1","24","barChart","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.82,2.82","2025-03-04T13:30:30.110Z","2025-03-04T13:30:33.512Z","3402","3402"
"271bc48d-e63c-4004-9edc-e5366330d5f5","pie-chart-1","25","pieChart","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.20,2.20","2025-03-04T13:30:33.625Z","2025-03-04T13:30:35.212Z","1587","1587"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-v-1","26","barChartV","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","1.88,1.88","2025-03-04T13:30:35.318Z","2025-03-04T13:30:38.290Z","2972","2972"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","27","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.71,2.71","2025-03-04T13:30:38.414Z","2025-03-04T13:30:40.081Z","1667","1667"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","28","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.53,2.73","2025-03-04T13:30:40.188Z","2025-03-04T13:30:42.061Z","1873","1873"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-1","29","barChart","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.99,2.99","2025-03-04T13:30:42.153Z","2025-03-04T13:30:44.142Z","1989","1989"
"271bc48d-e63c-4004-9edc-e5366330d5f5","pie-chart-1","30","pieChart","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.53,2.53","2025-03-04T13:30:44.274Z","2025-03-04T13:30:46.036Z","1762","1762"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-v-1","31","barChartV","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.63,2.63","2025-03-04T13:30:46.127Z","2025-03-04T13:30:47.925Z","1798","1798"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","32","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.97,2.97","2025-03-04T13:30:48.038Z","2025-03-04T13:30:49.709Z","1671","1671"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-1","33","barChart","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.40,2.40","2025-03-04T13:30:49.816Z","2025-03-04T13:30:51.840Z","2024","2024"
"271bc48d-e63c-4004-9edc-e5366330d5f5","pie-chart-1","34","pieChart","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.52,2.52","2025-03-04T13:30:51.951Z","2025-03-04T13:30:53.935Z","1984","1984"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-v-1","35","barChartV","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","1.54,1.54","2025-03-04T13:30:54.056Z","2025-03-04T13:30:56.066Z","2010","2010"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","36","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.01,2.01","2025-03-04T13:30:56.171Z","2025-03-04T13:30:58.400Z","2229","2229"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","37","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.63,2.63","2025-03-04T13:30:58.516Z","2025-03-04T13:31:00.479Z","1963","1963"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-1","38","barChart","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.53,2.53","2025-03-04T13:31:00.576Z","2025-03-04T13:31:02.298Z","1722","1722"
"271bc48d-e63c-4004-9edc-e5366330d5f5","pie-chart-1","39","pieChart","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.54,2.54","2025-03-04T13:31:02.412Z","2025-03-04T13:31:04.037Z","1625","1625"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-v-1","40","barChartV","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.67,2.67","2025-03-04T13:31:04.125Z","2025-03-04T13:31:05.921Z","1796","1796"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","41","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.78,2.78","2025-03-04T13:31:06.074Z","2025-03-04T13:31:08.290Z","2216","2216"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-1","42","barChart","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.93,2.93","2025-03-04T13:31:08.386Z","2025-03-04T13:31:11.006Z","2620","2620"
"271bc48d-e63c-4004-9edc-e5366330d5f5","pie-chart-1","43","pieChart","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","1.63,1.63","2025-03-04T13:31:11.124Z","2025-03-04T13:31:13.277Z","2153","2153"
"271bc48d-e63c-4004-9edc-e5366330d5f5","bar-chart-v-1","44","barChartV","100.00","An interactive bar chart.","Click on the largest section.","Your selected answer:","2.36,2.36","2025-03-04T13:31:13.381Z","2025-03-04T13:31:16.784Z","3403","3403"
"271bc48d-e63c-4004-9edc-e5366330d5f5","stacked-bar-1","45","stackedBar","100.00","An interactive pie chart.","Click on the largest section.","Your selected answer:","2.68,2.68","2025-03-04T13:31:16.892Z","2025-03-04T13:31:18.912Z","2020","2020"
